Game Number,Score,Tiles Closed,Rolls,Moves
308,16,7,"[(3, 5), (6, 3), (6, 6), (4, 2)]","[(1, 2, 5), (3, 6), (4, 8)]"
309,15,7,"[(1, 2), (5, 6), (3, 6), (1, 6), (1, 4)]","[(1, 2), (3, 8), (4, 5), (7,)]"
310,37,3,"[(5, 3), (1, 4)]","[(1, 2, 5)]"
311,41,2,"[(2, 2), (2, 1)]","[(1, 3)]"
312,18,6,"[(4, 4), (1, 3), (2, 5), (6, 2), (3, 4)]","[(1, 2, 5), (4,), (7,), (8,)]"
313,22,6,"[(4, 4), (1, 6), (6, 2), (4, 1)]","[(1, 2, 5), (3, 4), (8,)]"
314,21,6,"[(4, 3), (3, 5), (6, 3), (5, 6)]","[(1, 2, 4), (3, 5), (9,)]"
315,28,5,"[(5, 3), (4, 5), (1, 1)]","[(1, 2, 5), (3, 6)]"
316,23,6,"[(2, 1), (2, 2), (1, 2), (6, 6), (2, 1)]","[(1, 2), (4,), (3,), (5, 7)]"
317,20,6,"[(6, 3), (1, 6), (6, 3), (2, 4)]","[(1, 2, 6), (3, 4), (9,)]"
318,35,4,"[(2, 3), (2, 3), (1, 1)]","[(1, 4), (2, 3)]"
319,32,4,"[(1, 3), (4, 5), (5, 2)]","[(1, 3), (2, 7)]"
320,23,5,"[(4, 4), (5, 3), (1, 5), (3, 2)]","[(1, 2, 5), (8,), (6,)]"
321,23,5,"[(4, 4), (5, 3), (5, 1), (3, 3)]","[(1, 2, 5), (8,), (6,)]"
322,36,3,"[(6, 3), (1, 5)]","[(1, 2, 6)]"
323,14,7,"[(5, 4), (3, 4), (6, 1), (6, 2), (6, 1)]","[(1, 2, 6), (3, 4), (7,), (8,)]"
324,15,7,"[(5, 2), (2, 5), (4, 4), (5, 3), (1, 2)]","[(1, 2, 4), (7,), (3, 5), (8,)]"
325,23,6,"[(6, 4), (6, 6), (5, 6)]","[(1, 2, 3, 4), (5, 7)]"
326,15,7,"[(1, 1), (6, 6), (3, 1), (6, 6), (2, 6)]","[(2,), (1, 3, 8), (4,), (5, 7)]"
327,6,8,"[(3, 5), (5, 5), (1, 3), (3, 6), (5, 3), (5, 5)]","[(1, 2, 5), (3, 7), (4,), (9,), (8,)]"
328,22,6,"[(5, 5), (4, 3), (2, 4), (5, 2)]","[(1, 2, 3, 4), (7,), (6,)]"
329,39,3,"[(5, 1), (1, 1)]","[(1, 2, 3)]"
330,21,6,"[(6, 2), (6, 3), (6, 1), (1, 2)]","[(1, 2, 5), (3, 6), (7,)]"
331,37,3,"[(5, 3), (1, 1)]","[(1, 2, 5)]"
332,21,6,"[(5, 1), (6, 4), (6, 2), (1, 2)]","[(1, 2, 3), (4, 6), (8,)]"
333,20,6,"[(1, 3), (5, 4), (6, 6), (6, 1)]","[(1, 3), (2, 7), (4, 8)]"
334,19,6,"[(1, 5), (1, 3), (6, 1), (6, 3), (3, 6)]","[(1, 2, 3), (4,), (7,), (9,)]"
335,7,8,"[(2, 6), (5, 2), (3, 6), (5, 3), (2, 4), (4, 1)]","[(1, 2, 5), (3, 4), (9,), (8,), (6,)]"
336,24,6,"[(3, 4), (5, 4), (3, 2), (4, 2)]","[(1, 2, 4), (3, 6), (5,)]"
337,36,3,"[(3, 6), (3, 3)]","[(1, 2, 6)]"
338,24,6,"[(2, 1), (2, 6), (6, 4), (6, 4)]","[(1, 2), (3, 5), (4, 6)]"
